,metric,value,step
246,Loss/train,0.17854160070419312,3482944.0
247,Loss/train,0.18098317086696625,3486144.0
248,Loss/train,0.1777782440185547,3489344.0
249,Loss/train,0.18456687033176422,3492544.0
250,Loss/train,0.13957028090953827,3495744.0
251,Loss/train,0.13964244723320007,3498944.0
252,Loss/train,0.15254920721054077,3502144.0
253,Loss/train,0.1436849981546402,3505344.0
254,Loss/train,0.1553945243358612,3508544.0
255,Loss/train,0.15283633768558502,3511744.0
256,Loss/train,0.21460504829883575,3514944.0
257,Loss/train,0.16650095582008362,3518144.0
258,Loss/train,0.16266967356204987,3521344.0
259,Loss/train,0.17887993156909943,3524544.0
260,Loss/train,0.14261282980442047,3527744.0
261,Loss/train,0.1600574254989624,3530944.0
262,Loss/train,0.1668812334537506,3534144.0
263,Loss/train,0.21335762739181519,3537344.0
264,Loss/train,0.17622239887714386,3540544.0
265,Loss/train,0.23715345561504364,3543744.0
266,Loss/train,0.1858321875333786,3546944.0
267,Loss/train,0.17143811285495758,3550144.0
268,Loss/train,0.1618293970823288,3553344.0
269,Loss/train,0.20332682132720947,3556544.0
270,Loss/train,0.17852783203125,3559744.0
271,Loss/train,0.11191076040267944,3562944.0
272,Loss/train,0.16518794000148773,3566144.0
273,Loss/train,0.2227233499288559,3569344.0
274,Loss/train,0.16286100447177887,3572544.0
275,Loss/train,0.1786699891090393,3575744.0
276,Loss/train,0.1350707709789276,3578944.0
277,Loss/train,0.1352773904800415,3582144.0
278,Loss/train,0.16520731151103973,3585344.0
279,Loss/train,0.16342343389987946,3588544.0
280,Loss/train,0.1490967869758606,3591744.0
281,Loss/train,0.1392650455236435,3591776.0
282,Loss/train,0.13299913704395294,3594976.0
283,Loss/train,0.21779091656208038,3598176.0
284,Loss/train,0.18800151348114014,3601376.0
285,Loss/train,0.154115229845047,3604576.0
286,Loss/train,0.1856469213962555,3607776.0
287,Loss/train,0.13600169122219086,3610976.0
288,Loss/train,0.16417145729064941,3614176.0
289,Loss/train,0.2125645875930786,3617376.0
290,Loss/train,0.18812859058380127,3620576.0
291,Loss/train,0.20832984149456024,3623776.0
292,Loss/train,0.1423036903142929,3626976.0
293,Loss/train,0.16671988368034363,3630176.0
294,Loss/train,0.1753559410572052,3633376.0
295,Loss/train,0.23464512825012207,3636576.0
296,Loss/train,0.16525879502296448,3639776.0
297,Loss/train,0.19881415367126465,3642976.0
298,Loss/train,0.23884335160255432,3646176.0
299,Loss/train,0.16847722232341766,3649376.0
300,Loss/train,0.16754522919654846,3652576.0
301,Loss/train,0.18830227851867676,3655776.0
302,Loss/train,0.19240237772464752,3658976.0
303,Loss/train,0.14187677204608917,3662176.0
304,Loss/train,0.17449165880680084,3665376.0
305,Loss/train,0.19852358102798462,3668576.0
306,Loss/train,0.1528392732143402,3671776.0
307,Loss/train,0.14391091465950012,3674976.0
308,Loss/train,0.16671660542488098,3678176.0
309,Loss/train,0.17045240104198456,3681376.0
310,Loss/train,0.180728942155838,3684576.0
311,Loss/train,0.16802306473255157,3687776.0
312,Loss/train,0.12997813522815704,3690976.0
313,Loss/train,0.2183031439781189,3694176.0
